customer_id,branch,rm,aum_bil_vnd,monthly_trading_value_mil_vnd,margin_balance_bil_vnd,product_usage,last_active_date,lifecycle
C0296,Hanoi HQ,RM_25,0.22,98.04,0.02,Fund|Derivative,2026-04-29,Active
C0297,Ho Chi Minh,RM_02,0.42,216.7,0.07,Fund,2026-04-23,Active
C0298,Hanoi HQ,RM_13,0.72,249.66,0.12,Advisory|Margin,2026-04-27,Active
C0299,Hanoi HQ,RM_01,0.68,197.31,0.07,Bond|Margin|Fund,2026-04-09,New
C0300,Hanoi HQ,RM_01,0.6,14.03,0.03,Margin|Equity,2026-03-03,Dormant
C0301,Ho Chi Minh,RM_20,2.08,618.58,0.3,Fund,2026-03-31,Active
C0302,Ho Chi Minh,RM_20,0.5,140.08,0.12,Advisory|Margin|Equity,2026-04-24,Active
C0303,Hanoi HQ,RM_25,0.94,339.48,0.1,Fund|Derivative,2026-04-23,New
C0304,Da Nang,RM_15,0.85,114.42,0.3,Derivative|Equity|Margin,2026-04-07,New
C0305,Can Tho,RM_29,1.11,99.44,0.46,Fund|Bond,2026-04-30,Active
C0306,Hai Phong,RM_28,3.29,60.93,1.04,Margin|Advisory|Derivative,2026-04-21,Active
C0307,Hanoi HQ,RM_25,1.52,536.88,0.38,Fund|Margin,2026-04-09,New
C0308,Da Nang,RM_09,0.88,48.93,0.25,Equity|Fund,2026-04-12,Active
C0309,Hai Phong,RM_10,5.08,64.72,1.33,Derivative|Bond|Advisory,2026-04-17,New
C0310,Hai Phong,RM_10,0.2,208.99,0.08,Advisory|Bond,2026-04-30,Active
C0311,Can Tho,RM_17,1.35,100.02,0.33,Advisory|Bond,2026-03-11,Active
C0312,Online,RM_06,0.71,98.76,0.03,Advisory|Margin|Derivative,2026-04-06,Active
C0313,Da Nang,RM_09,0.94,22.37,0.28,Advisory,2026-04-09,Dormant
C0314,Hanoi HQ,RM_01,0.36,45.92,0.04,Derivative,2026-04-29,Active
C0315,Online,RM_18,0.17,34.46,0.07,Advisory|Equity|Fund,2026-04-22,Active
C0316,Da Nang,RM_27,0.34,124.74,0.06,Fund|Margin,2026-03-16,Active
C0317,Hai Phong,RM_22,0.48,535.59,0.19,Derivative|Equity,2026-04-12,Active
C0318,Online,RM_18,0.42,307.98,0.08,Fund|Equity,2026-04-30,Active
C0319,Ho Chi Minh,RM_14,0.7,101.03,0.29,Bond,2026-04-28,Dormant
C0320,Hanoi HQ,RM_13,0.59,482.61,0.21,Advisory|Bond|Fund,2026-04-30,New
C0321,Online,RM_24,0.37,361.61,0.15,Bond|Derivative,2026-03-07,Active
C0322,Can Tho,RM_17,0.58,46.9,0.14,Fund|Advisory,2026-04-18,Active
C0323,Hai Phong,RM_16,0.49,688.48,0.13,Margin,2026-04-27,Active
C0324,Ho Chi Minh,RM_08,0.8,410.47,0.28,Derivative|Fund,2026-04-24,Dormant
C0325,Ho Chi Minh,RM_14,0.99,45.37,0.26,Advisory|Equity,2026-04-28,Active
C0326,Hanoi HQ,RM_19,2.4,50.18,0.62,Derivative,2026-02-12,Active
C0327,Hai Phong,RM_10,0.72,28.72,0.13,Margin|Bond,2026-03-25,New
C0328,Can Tho,RM_29,1.03,113.87,0.24,Fund|Advisory,2026-04-28,VIP
C0329,Hanoi HQ,RM_01,0.69,51.57,0.17,Bond|Advisory,2026-04-13,Active
C0330,Can Tho,RM_29,1.04,173.59,0.23,Equity,2026-04-23,Active
C0331,Da Nang,RM_15,0.33,111.57,0.06,Derivative|Advisory|Equity,2026-04-01,VIP
C0332,Hai Phong,RM_28,1.04,124.22,0.21,Advisory|Equity,2026-04-18,Active
C0333,Da Nang,RM_03,0.21,23.72,0.01,Derivative|Equity|Margin,2026-04-22,Active
C0334,Da Nang,RM_27,2.2,76.66,0.83,Advisory|Derivative|Bond,2026-04-22,New
C0335,Ho Chi Minh,RM_08,3.04,10.53,0.71,Margin|Advisory,2026-04-23,Active
C0336,Can Tho,RM_29,3.51,35.63,0.55,Fund|Derivative,2026-04-22,Dormant
C0337,Da Nang,RM_21,0.26,185.34,0.05,Margin|Advisory,2026-04-08,Dormant
C0338,Online,RM_30,0.74,322.79,0.06,Derivative|Equity,2026-04-29,Active
C0339,Can Tho,RM_17,1.83,35.73,0.22,Bond|Fund,2026-03-11,Active
C0340,Ho Chi Minh,RM_26,1.78,29.06,0.66,Bond,2026-04-29,Active
C0341,Hai Phong,RM_28,0.6,23.3,0.07,Equity|Bond|Margin,2026-04-21,Active
C0342,Hanoi HQ,RM_25,1.42,86.75,0.63,Advisory|Fund,2026-03-30,VIP
C0343,Da Nang,RM_27,1.54,234.68,0.6,Fund|Margin|Bond,2026-01-12,Dormant
C0344,Da Nang,RM_21,1.01,577.66,0.14,Derivative|Fund|Bond,2026-04-11,Active
C0345,Ho Chi Minh,RM_26,5.41,368.92,2.11,Margin,2026-04-15,Active
C0346,Hai Phong,RM_10,0.91,36.79,0.23,Derivative|Fund|Equity,2026-03-25,Active
C0347,Hanoi HQ,RM_19,0.54,4.77,0.21,Margin|Advisory,2026-04-19,Active
C0348,Can Tho,RM_23,0.89,245.21,0.02,Fund,2026-04-12,Active
C0349,Hai Phong,RM_04,0.19,77.98,0.0,Equity,2026-04-15,New
C0350,Da Nang,RM_27,1.69,207.31,0.61,Advisory|Bond|Equity,2026-03-03,Active
C0351,Can Tho,RM_17,1.07,95.54,0.28,Bond|Margin|Equity,2026-04-14,Active
C0352,Can Tho,RM_17,1.84,159.47,0.73,Margin|Equity|Fund,2026-04-11,Dormant
C0353,Da Nang,RM_09,0.93,294.97,0.41,Margin|Equity|Bond,2026-04-19,VIP
C0354,Can Tho,RM_17,1.5,169.25,0.21,Bond|Equity,2026-04-16,Active
C0355,Online,RM_06,2.48,7.34,1.1,Advisory|Equity|Fund,2026-04-27,Active
C0356,Hai Phong,RM_04,0.46,146.07,0.04,Derivative|Equity|Fund,2026-04-01,Active
C0357,Online,RM_30,0.92,37.16,0.21,Derivative|Equity|Bond,2026-04-28,Active
C0358,Hai Phong,RM_10,0.22,9.3,0.07,Advisory|Derivative|Margin,2026-04-15,New
C0359,Can Tho,RM_23,0.55,303.13,0.05,Equity,2026-04-18,Active
C0360,Da Nang,RM_03,0.53,156.16,0.17,Margin|Bond,2026-04-21,Active
C0361,Hanoi HQ,RM_13,0.51,2293.03,0.15,Advisory|Margin|Bond,2026-04-26,Active
C0362,Online,RM_24,0.4,47.63,0.04,Equity|Fund,2026-04-27,Active
C0363,Online,RM_06,2.45,68.03,0.4,Fund,2026-04-29,VIP
C0364,Da Nang,RM_09,0.83,19.09,0.19,Bond,2026-04-14,Active
C0365,Can Tho,RM_17,0.63,32.53,0.1,Fund|Advisory,2026-04-29,Active
C0366,Da Nang,RM_27,0.97,97.36,0.2,Bond,2026-04-19,Active
C0367,Hanoi HQ,RM_07,0.61,233.35,0.19,Margin|Equity|Bond,2026-04-19,Active
C0368,Ho Chi Minh,RM_20,0.5,1110.85,0.17,Bond|Margin,2026-04-28,VIP
C0369,Online,RM_12,0.69,75.03,0.07,Fund,2026-04-30,Active
C0370,Can Tho,RM_11,0.46,476.92,0.16,Derivative,2026-04-28,Dormant
C0371,Online,RM_24,0.38,99.65,0.0,Margin|Derivative,2026-03-30,Active
C0372,Da Nang,RM_21,0.79,157.9,0.33,Equity,2026-04-25,Dormant
C0373,Can Tho,RM_23,0.85,1941.77,0.13,Advisory|Bond,2026-03-18,Active
C0374,Hai Phong,RM_28,0.4,92.94,0.08,Advisory|Bond,2026-04-25,Active
C0375,Da Nang,RM_27,0.24,166.12,0.11,Equity|Advisory,2026-04-20,Active
C0376,Ho Chi Minh,RM_26,0.19,306.03,0.02,Advisory|Derivative|Equity,2026-04-24,Active
C0377,Da Nang,RM_09,0.28,817.78,0.05,Bond|Advisory|Derivative,2026-03-23,Active
C0378,Ho Chi Minh,RM_26,2.0,164.8,0.74,Derivative,2026-04-27,Dormant
C0379,Ho Chi Minh,RM_14,0.18,1064.75,0.01,Margin,2026-04-28,Active
C0380,Online,RM_18,4.82,152.36,0.89,Advisory,2026-04-16,Active
C0381,Can Tho,RM_23,0.35,91.04,0.09,Derivative|Advisory|Bond,2026-04-26,Dormant
C0382,Online,RM_12,0.13,227.0,0.05,Derivative|Margin,2026-03-31,Active
C0383,Da Nang,RM_15,0.74,71.53,0.07,Derivative,2026-02-08,Dormant
C0384,Da Nang,RM_15,0.66,514.33,0.1,Bond|Derivative|Fund,2026-04-22,New
C0385,Can Tho,RM_17,1.45,91.96,0.37,Margin,2026-04-27,Active
C0386,Online,RM_24,0.88,196.1,0.21,Bond,2026-04-30,Active
C0387,Online,RM_18,1.24,94.83,0.47,Margin|Equity|Fund,2026-04-26,Active
C0388,Ho Chi Minh,RM_20,0.08,421.03,0.03,Advisory,2026-03-31,New
C0389,Hai Phong,RM_04,4.1,46.62,1.22,Equity|Margin|Bond,2026-04-29,Dormant
C0390,Online,RM_30,0.47,66.19,0.11,Margin|Fund|Equity,2026-04-08,Active
C0391,Ho Chi Minh,RM_08,0.69,59.23,0.12,Equity|Bond|Fund,2026-04-24,Active
C0392,Can Tho,RM_29,0.23,11.67,0.09,Fund|Bond,2026-04-11,Active
C0393,Can Tho,RM_23,0.04,122.37,0.0,Equity,2026-04-16,Dormant
C0394,Da Nang,RM_03,1.24,298.28,0.39,Fund,2026-04-23,Dormant
C0395,Hai Phong,RM_22,0.53,41.21,0.15,Derivative|Margin,2026-04-20,Active
C0396,Can Tho,RM_17,0.28,60.23,0.01,Bond,2026-03-22,Active
C0397,Da Nang,RM_15,1.07,157.77,0.04,Derivative|Fund|Bond,2026-04-22,Active
C0398,Hai Phong,RM_10,0.5,68.48,0.19,Advisory|Fund,2026-03-15,Active
C0399,Da Nang,RM_21,0.36,377.71,0.04,Advisory,2026-04-09,Active
C0400,Ho Chi Minh,RM_08,0.57,282.19,0.14,Margin,2026-04-30,Active
C0401,Hai Phong,RM_04,0.65,44.62,0.1,Fund|Derivative,2026-03-25,Active
C0402,Can Tho,RM_05,0.64,836.4,0.2,Advisory,2026-04-16,Dormant
C0403,Can Tho,RM_29,0.46,55.73,0.07,Advisory|Bond,2026-04-21,Active
C0404,Hanoi HQ,RM_13,0.2,30.78,0.03,Margin|Equity|Derivative,2026-04-28,Active
C0405,Hai Phong,RM_04,1.16,1180.73,0.04,Bond|Fund,2026-04-30,VIP
C0406,Hanoi HQ,RM_19,0.46,38.34,0.16,Advisory|Equity|Margin,2026-04-18,Active
C0407,Ho Chi Minh,RM_02,3.38,403.83,0.76,Margin|Advisory|Equity,2026-04-12,Active
C0408,Hai Phong,RM_04,1.26,1731.43,0.14,Advisory|Margin|Derivative,2026-04-19,Active
C0409,Hai Phong,RM_10,1.78,196.53,0.26,Fund,2026-04-10,New
C0410,Ho Chi Minh,RM_20,1.81,51.52,0.18,Bond,2026-04-09,New
C0411,Hai Phong,RM_16,0.5,88.48,0.16,Bond|Fund,2026-04-28,New
C0412,Hai Phong,RM_10,0.6,83.98,0.01,Advisory,2026-04-13,Active
C0413,Hanoi HQ,RM_25,0.87,335.69,0.22,Equity|Bond,2026-04-18,Dormant
C0414,Online,RM_12,0.83,103.44,0.37,Bond|Margin|Equity,2026-04-07,Active
C0415,Hai Phong,RM_04,2.67,904.28,0.3,Advisory|Margin|Bond,2026-04-05,Active
C0416,Ho Chi Minh,RM_14,0.29,434.64,0.09,Bond|Margin|Derivative,2026-04-16,Dormant
C0417,Ho Chi Minh,RM_02,1.43,84.64,0.42,Margin|Fund,2026-04-24,Active
C0418,Hanoi HQ,RM_19,2.74,153.51,0.47,Margin,2026-04-11,Active
C0419,Can Tho,RM_23,0.68,171.59,0.03,Fund|Derivative,2026-04-29,Active
C0420,Can Tho,RM_17,2.28,115.12,0.61,Margin,2026-04-09,New
C0421,Ho Chi Minh,RM_20,2.04,294.77,0.8,Margin|Fund,2026-04-18,New
C0422,Hai Phong,RM_22,0.67,13.98,0.24,Fund|Equity,2026-04-26,Active
C0423,Da Nang,RM_09,0.88,44.26,0.22,Equity|Fund,2026-04-26,Active
C0424,Online,RM_06,0.31,36.49,0.09,Advisory|Margin|Equity,2026-03-20,Active
C0425,Ho Chi Minh,RM_26,0.36,429.75,0.15,Bond,2026-04-17,Active
C0426,Ho Chi Minh,RM_20,0.28,717.52,0.09,Margin|Advisory|Derivative,2026-04-20,Active
C0427,Can Tho,RM_11,0.66,173.57,0.02,Fund|Derivative,2026-04-23,Active
C0428,Online,RM_30,0.98,115.71,0.0,Equity,2026-04-13,Dormant
C0429,Hai Phong,RM_10,0.38,187.94,0.03,Equity,2026-04-27,Active
C0430,Online,RM_12,0.24,80.63,0.08,Derivative|Advisory,2026-04-26,Dormant
C0431,Da Nang,RM_03,0.52,67.96,0.07,Advisory|Fund|Derivative,2026-04-17,Active
C0432,Da Nang,RM_27,5.2,26.05,0.19,Advisory|Bond,2026-03-11,Active
C0433,Online,RM_12,0.57,254.12,0.08,Advisory,2026-04-27,Active
C0434,Online,RM_06,2.57,192.98,0.54,Bond|Fund,2026-04-21,Dormant
C0435,Hai Phong,RM_22,0.15,425.27,0.06,Fund,2026-04-30,Active
C0436,Hanoi HQ,RM_07,0.42,101.77,0.11,Advisory|Fund,2026-03-20,Dormant
C0437,Hai Phong,RM_04,0.38,48.69,0.09,Derivative|Advisory,2026-04-29,New
C0438,Da Nang,RM_27,0.76,225.64,0.21,Bond|Fund|Derivative,2026-04-26,New
C0439,Can Tho,RM_23,0.36,327.37,0.14,Margin|Equity,2026-04-16,Active
C0440,Can Tho,RM_29,0.42,103.03,0.08,Equity|Derivative|Advisory,2026-04-18,New
C0441,Da Nang,RM_03,0.82,53.33,0.21,Margin|Fund,2026-03-24,Active
C0442,Ho Chi Minh,RM_02,0.86,27.5,0.25,Fund|Bond|Margin,2026-04-30,VIP
C0443,Hai Phong,RM_28,0.76,37.26,0.08,Fund|Margin|Equity,2026-04-23,Dormant
C0444,Can Tho,RM_11,0.33,133.86,0.0,Advisory|Margin|Derivative,2026-04-11,Active
C0445,Ho Chi Minh,RM_02,1.23,127.38,0.06,Bond,2026-04-18,Active
C0446,Hai Phong,RM_10,0.18,2195.2,0.07,Margin|Advisory,2026-04-29,Active
C0447,Ho Chi Minh,RM_14,7.27,98.28,2.42,Equity|Derivative,2026-04-13,Active
C0448,Da Nang,RM_27,1.07,9.64,0.03,Fund,2026-04-27,Active
C0449,Online,RM_06,1.2,7.71,0.54,Advisory|Equity|Bond,2026-04-28,Active
C0450,Ho Chi Minh,RM_26,0.4,32.89,0.12,Fund|Equity|Margin,2026-04-19,Active
C0451,Da Nang,RM_21,9.46,26.86,2.43,Equity|Fund|Derivative,2026-04-26,Active
C0452,Online,RM_06,2.37,48.55,0.44,Fund,2026-04-27,Active
C0453,Can Tho,RM_17,0.29,223.41,0.04,Bond|Advisory|Fund,2026-04-21,Active
C0454,Ho Chi Minh,RM_02,0.3,111.77,0.08,Advisory,2026-04-16,Active
C0455,Can Tho,RM_17,0.91,390.04,0.36,Advisory|Derivative|Margin,2026-04-14,Active
C0456,Hai Phong,RM_10,0.41,50.17,0.04,Bond|Fund,2026-04-25,Active
C0457,Da Nang,RM_09,0.78,28.84,0.07,Margin,2026-04-25,Active
C0458,Hai Phong,RM_04,0.3,31.61,0.08,Advisory,2026-04-08,Dormant
C0459,Hai Phong,RM_10,0.31,251.23,0.02,Fund|Bond|Derivative,2026-04-12,Active
C0460,Can Tho,RM_29,0.12,37.34,0.05,Equity|Advisory|Derivative,2026-04-30,Dormant
C0461,Da Nang,RM_21,0.61,184.91,0.21,Advisory,2026-04-04,Active
C0462,Hanoi HQ,RM_25,1.23,712.83,0.11,Equity|Fund,2026-04-18,Active
C0463,Hanoi HQ,RM_19,1.65,125.8,0.6,Margin|Advisory|Derivative,2026-03-30,Active
C0464,Hanoi HQ,RM_19,0.64,197.96,0.1,Equity|Derivative|Margin,2026-04-29,Active
C0465,Hanoi HQ,RM_19,0.5,263.35,0.19,Bond|Derivative,2026-03-26,Dormant
C0466,Online,RM_30,0.73,12.05,0.21,Derivative|Equity|Bond,2026-04-18,Dormant
C0467,Ho Chi Minh,RM_14,0.32,106.09,0.1,Advisory|Equity|Margin,2026-04-26,Dormant
C0468,Hanoi HQ,RM_13,2.03,312.32,0.62,Margin|Equity|Advisory,2026-04-25,VIP
C0469,Hai Phong,RM_16,0.51,379.74,0.04,Derivative,2026-03-29,Active
C0470,Can Tho,RM_17,2.59,101.25,0.97,Equity|Derivative,2026-04-08,Active
C0471,Can Tho,RM_17,0.33,75.06,0.09,Equity|Fund,2026-04-24,Active
C0472,Da Nang,RM_15,1.96,53.62,0.35,Bond|Margin,2026-04-28,Active
C0473,Online,RM_12,0.2,134.73,0.02,Advisory|Bond|Fund,2026-04-19,Active
C0474,Ho Chi Minh,RM_02,0.9,64.49,0.24,Fund,2026-04-21,Dormant
C0475,Ho Chi Minh,RM_26,0.31,186.42,0.04,Advisory,2026-04-30,Active
C0476,Hai Phong,RM_16,2.2,14.08,0.47,Advisory|Derivative,2026-03-26,Active
C0477,Ho Chi Minh,RM_02,0.84,87.12,0.35,Equity,2026-04-20,Active
C0478,Hai Phong,RM_10,0.65,72.63,0.23,Fund,2026-04-23,Active
C0479,Hai Phong,RM_22,0.96,116.74,0.21,Bond|Fund,2026-02-11,Dormant
C0480,Can Tho,RM_11,0.93,18.11,0.36,Equity|Fund,2026-04-23,VIP
C0481,Hai Phong,RM_22,0.33,51.87,0.01,Advisory|Derivative|Margin,2026-04-27,Active
C0482,Can Tho,RM_11,0.71,327.7,0.11,Fund|Equity|Derivative,2026-04-28,Active
C0483,Can Tho,RM_23,1.15,65.29,0.06,Advisory|Derivative|Bond,2026-04-12,Active
C0484,Ho Chi Minh,RM_20,0.66,28.92,0.22,Bond|Advisory|Equity,2026-04-28,Dormant
C0485,Can Tho,RM_11,0.76,156.29,0.17,Equity,2026-03-24,Active
C0486,Can Tho,RM_05,1.17,366.93,0.22,Equity|Fund|Bond,2026-04-11,Active
C0487,Hanoi HQ,RM_01,0.49,104.42,0.04,Equity,2026-04-22,New
C0488,Can Tho,RM_23,0.47,1558.72,0.1,Advisory|Bond|Fund,2026-04-04,Dormant
C0489,Da Nang,RM_03,1.24,320.05,0.52,Bond,2026-03-31,Active
C0490,Ho Chi Minh,RM_26,2.5,181.68,0.43,Fund|Derivative,2026-04-28,Active
C0491,Da Nang,RM_27,0.3,235.53,0.06,Derivative|Advisory|Equity,2026-04-19,Active
C0492,Hai Phong,RM_28,0.5,101.3,0.14,Advisory|Bond,2026-04-26,Active
C0493,Online,RM_24,0.25,113.8,0.03,Derivative,2026-03-15,Active
C0494,Can Tho,RM_29,3.39,1702.97,0.3,Bond,2026-04-27,Active
C0495,Hai Phong,RM_04,1.87,156.3,0.04,Equity|Margin|Advisory,2026-04-25,Dormant
C0496,Hanoi HQ,RM_25,0.24,314.59,0.07,Fund|Derivative|Bond,2026-03-30,Active
C0497,Online,RM_12,0.42,386.85,0.08,Bond|Derivative|Margin,2026-03-28,Active
C0498,Hai Phong,RM_04,1.11,181.65,0.2,Derivative|Bond,2026-04-30,Active
C0499,Hai Phong,RM_16,5.92,90.26,0.58,Bond|Derivative,2026-04-28,Active
C0500,Ho Chi Minh,RM_20,0.07,261.69,0.02,Derivative,2026-04-01,Active
C0501,Online,RM_30,0.26,101.83,0.02,Advisory|Derivative,2026-04-30,Active
C0502,Online,RM_30,1.1,59.6,0.42,Equity|Bond|Derivative,2026-03-11,Active
C0503,Online,RM_12,0.41,148.52,0.17,Equity|Margin|Fund,2026-04-28,Dormant
C0504,Online,RM_06,1.14,78.63,0.04,Fund,2026-04-23,Active
C0505,Da Nang,RM_09,0.23,212.11,0.02,Advisory,2026-04-30,Active
C0506,Can Tho,RM_23,0.76,278.72,0.09,Fund|Derivative,2026-04-30,Active
C0507,Online,RM_12,2.03,364.13,0.82,Derivative|Bond|Advisory,2026-04-15,Active
C0508,Can Tho,RM_29,2.21,628.5,0.6,Advisory|Derivative,2026-04-18,Dormant
C0509,Ho Chi Minh,RM_08,0.42,517.17,0.09,Equity|Bond,2026-03-27,Dormant
C0510,Online,RM_24,0.16,49.57,0.05,Equity,2026-03-29,New
C0511,Can Tho,RM_17,0.4,144.08,0.06,Bond,2026-04-10,Active
C0512,Da Nang,RM_27,1.46,286.42,0.3,Advisory|Fund,2026-03-28,Active
C0513,Hai Phong,RM_10,0.27,148.86,0.0,Fund|Bond,2026-04-30,New
C0514,Can Tho,RM_05,0.68,65.18,0.18,Bond|Fund,2026-04-15,Active
C0515,Can Tho,RM_17,0.96,365.84,0.3,Equity|Fund|Bond,2026-04-24,Active
C0516,Hai Phong,RM_22,0.28,96.15,0.02,Margin|Fund,2026-04-16,Dormant
C0517,Da Nang,RM_27,0.94,75.73,0.38,Bond|Equity,2026-04-06,Active
C0518,Ho Chi Minh,RM_26,0.48,337.95,0.01,Fund,2026-04-06,Active
C0519,Da Nang,RM_09,0.49,51.43,0.04,Bond|Advisory|Equity,2026-03-18,Active
C0520,Ho Chi Minh,RM_26,0.14,83.61,0.03,Margin,2026-03-28,Active
C0521,Online,RM_12,2.69,93.48,1.07,Derivative,2026-04-29,VIP
C0522,Ho Chi Minh,RM_02,0.24,570.8,0.1,Advisory,2026-04-25,New
C0523,Da Nang,RM_15,0.63,129.54,0.11,Derivative|Bond,2026-04-25,Active
C0524,Hai Phong,RM_04,3.08,515.8,1.18,Fund|Bond,2026-04-06,Active
C0525,Hanoi HQ,RM_13,0.32,39.91,0.13,Fund|Derivative,2026-04-26,Active
C0526,Da Nang,RM_27,0.9,382.33,0.27,Margin|Derivative,2026-04-30,Active
C0527,Can Tho,RM_23,0.55,133.33,0.09,Fund|Derivative|Equity,2026-02-20,Active
C0528,Hanoi HQ,RM_25,1.06,168.56,0.22,Derivative|Advisory,2026-04-19,Dormant
C0529,Online,RM_18,0.34,115.18,0.08,Advisory|Equity|Derivative,2026-04-21,New
C0530,Can Tho,RM_23,0.73,202.82,0.1,Equity,2026-04-19,Active
C0531,Ho Chi Minh,RM_20,0.62,628.64,0.06,Fund|Derivative|Bond,2026-04-27,Active
C0532,Da Nang,RM_09,4.44,82.05,1.96,Advisory,2026-04-30,Active
C0533,Can Tho,RM_17,0.66,35.37,0.18,Derivative|Advisory|Equity,2026-04-20,Active
C0534,Hanoi HQ,RM_01,2.91,171.29,1.29,Fund|Margin|Bond,2026-04-25,Active
C0535,Hai Phong,RM_28,0.04,224.26,0.0,Fund,2026-03-04,Active
C0536,Hanoi HQ,RM_13,0.81,60.07,0.03,Fund|Margin|Equity,2026-04-27,Active
C0537,Can Tho,RM_23,0.33,649.6,0.04,Fund,2026-04-23,Active
C0538,Hai Phong,RM_22,0.53,122.94,0.06,Fund|Advisory|Margin,2026-04-20,VIP
C0539,Hanoi HQ,RM_07,0.07,303.0,0.01,Margin,2026-02-21,Active
C0540,Online,RM_24,0.84,1001.87,0.37,Margin,2026-04-13,Dormant
C0541,Hai Phong,RM_28,0.86,11.88,0.31,Bond,2026-04-23,Active
C0542,Da Nang,RM_27,0.45,71.37,0.1,Derivative|Equity|Advisory,2026-03-28,Active
C0543,Online,RM_12,1.58,108.21,0.47,Fund|Margin,2026-04-22,Active
C0544,Hanoi HQ,RM_19,1.55,86.8,0.67,Advisory|Derivative,2026-04-20,New
C0545,Online,RM_24,1.09,61.67,0.02,Equity|Advisory,2026-03-08,Active
C0546,Da Nang,RM_15,0.97,125.83,0.11,Margin|Equity|Derivative,2026-04-10,Active
C0547,Online,RM_06,1.01,118.94,0.13,Fund|Bond|Derivative,2026-04-21,Active
C0548,Hai Phong,RM_22,0.34,176.16,0.01,Bond,2026-04-19,Active
C0549,Ho Chi Minh,RM_20,0.47,26.64,0.15,Margin|Equity|Bond,2026-04-26,Dormant
C0550,Hanoi HQ,RM_25,2.14,40.52,0.35,Bond,2026-04-25,Active
C0551,Can Tho,RM_17,0.41,57.88,0.12,Derivative,2026-01-31,Active
C0552,Da Nang,RM_15,2.26,1869.16,0.47,Fund|Margin,2026-04-21,Active
C0553,Hanoi HQ,RM_07,0.87,29.27,0.28,Fund|Margin|Equity,2026-04-20,Dormant
C0554,Ho Chi Minh,RM_20,0.23,47.22,0.05,Fund,2026-04-28,New
C0555,Online,RM_06,1.33,86.03,0.37,Bond,2026-04-20,Dormant
C0556,Can Tho,RM_05,0.8,83.78,0.03,Fund|Equity|Derivative,2026-04-20,Active
C0557,Hai Phong,RM_22,0.51,2162.62,0.12,Margin|Advisory|Bond,2026-04-11,Active
C0558,Can Tho,RM_29,0.48,60.7,0.08,Advisory|Equity,2026-03-10,Active
C0559,Can Tho,RM_29,0.58,156.18,0.11,Advisory,2026-04-19,New
C0560,Hanoi HQ,RM_01,1.18,389.01,0.34,Advisory|Margin|Bond,2026-04-28,Active
C0561,Hanoi HQ,RM_19,2.41,174.52,0.93,Bond|Equity,2026-04-19,New
C0562,Online,RM_06,2.05,214.44,0.69,Bond|Derivative|Equity,2026-04-09,Active
C0563,Hai Phong,RM_16,0.8,70.34,0.31,Advisory|Equity|Fund,2026-03-22,Dormant
C0564,Ho Chi Minh,RM_26,0.25,151.7,0.1,Equity,2026-04-23,Dormant
C0565,Online,RM_24,0.1,51.78,0.03,Bond|Fund,2026-04-29,Active
C0566,Hanoi HQ,RM_07,2.29,165.79,0.02,Margin|Bond,2026-04-30,Active
C0567,Da Nang,RM_27,1.53,557.21,0.4,Derivative,2026-04-06,Active
C0568,Ho Chi Minh,RM_02,1.69,189.41,0.73,Fund,2026-04-13,Active
C0569,Da Nang,RM_21,1.47,351.28,0.55,Margin,2026-04-29,Active
C0570,Da Nang,RM_21,0.78,72.02,0.06,Bond|Derivative|Margin,2026-04-08,Active
C0571,Hai Phong,RM_10,0.73,712.57,0.3,Fund,2026-04-28,Active
C0572,Hanoi HQ,RM_19,0.14,86.82,0.05,Derivative|Advisory|Fund,2026-04-27,VIP
C0573,Online,RM_18,0.27,227.6,0.06,Margin|Derivative|Bond,2026-04-19,Active
C0574,Hanoi HQ,RM_19,0.48,174.68,0.03,Bond,2026-04-12,Active
C0575,Da Nang,RM_09,0.2,59.79,0.02,Bond|Advisory|Fund,2026-04-29,Active
C0576,Hanoi HQ,RM_19,1.19,45.52,0.36,Equity|Derivative|Fund,2026-02-19,Active
C0577,Da Nang,RM_09,0.82,131.65,0.14,Margin|Derivative|Equity,2026-04-13,New
C0578,Hai Phong,RM_10,1.37,27.45,0.29,Fund|Bond,2026-03-24,Active
C0579,Online,RM_06,3.09,24.92,0.2,Equity|Fund|Margin,2026-03-30,Active
C0580,Online,RM_06,1.6,63.87,0.72,Bond|Margin|Derivative,2026-04-26,Active
C0581,Online,RM_12,0.44,98.13,0.14,Advisory|Equity,2026-04-17,Active
C0582,Da Nang,RM_09,0.22,886.33,0.02,Bond|Fund|Derivative,2026-02-12,Active
C0583,Online,RM_12,0.37,277.33,0.05,Derivative|Equity,2026-04-19,Active
C0584,Can Tho,RM_05,0.24,119.65,0.06,Bond|Fund|Derivative,2026-04-24,Active
C0585,Ho Chi Minh,RM_26,0.27,300.19,0.11,Equity|Advisory,2026-04-27,Active
C0586,Can Tho,RM_29,0.77,12.97,0.06,Equity,2026-03-04,Active
C0587,Can Tho,RM_23,0.84,211.75,0.17,Advisory|Fund,2026-04-17,Active
C0588,Hanoi HQ,RM_19,0.23,75.38,0.04,Bond,2026-04-20,Active
C0589,Hai Phong,RM_28,0.4,1020.0,0.09,Fund|Advisory,2026-04-26,Active
C0590,Can Tho,RM_17,1.63,137.82,0.59,Advisory|Derivative,2026-04-20,Active
C0591,Can Tho,RM_29,1.44,67.63,0.3,Equity|Margin|Fund,2026-04-18,New
C0592,Hanoi HQ,RM_13,0.19,99.1,0.03,Advisory|Fund,2026-04-30,Active
